"architecture","replicate","configuration","method","status","error_message","chain_count","elapsed_seconds","warnings","evidence_source"
"sparse_homogeneous",1,"block_csr","sbayesc","ok","",4,160.58,"","interrupted_preoptimization_v2_convergence"
"sparse_homogeneous",1,"block_csr","sbayesc","ok",,4,42.9699999999998,,"historical_v1_maximum_history"
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","ok",,4,186.31,,"historical_v1_maximum_history"
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","ok",,4,175.25,,"historical_v1_maximum_history"
"sparse_homogeneous",1,"block_eigen_unfiltered","sbayesc","ok",,4,183.97,,"historical_v1_maximum_history"
"sparse_homogeneous",1,"full_csr","sbayesc","ok","",4,148.91,"","interrupted_preoptimization_v2_convergence"
"sparse_homogeneous",1,"low_rank_0995","sbayesc","ok","",4,3566.31,"","interrupted_preoptimization_v2_convergence"
"sparse_homogeneous",1,"low_rank_0999","sbayesc","ok","",4,3382.72,"","interrupted_preoptimization_v2_convergence"
"sparse_homogeneous",1,"low_rank_full","sbayesc","ok","",4,3324.88,"","interrupted_preoptimization_v2_convergence"
"sparse_mixture",1,"block_csr","sbayesr","ok",,4,140.16,,"historical_v1_maximum_history"
"sparse_mixture",1,"block_eigen_hard","sbayesr","ok",,4,358.39,,"historical_v1_maximum_history"
"sparse_mixture",1,"block_eigen_ridge_fixed","sbayesr","ok",,4,324.87,,"historical_v1_maximum_history"
"sparse_mixture",1,"block_eigen_unfiltered","sbayesr","ok",,4,313.61,,"historical_v1_maximum_history"
