"architecture","configuration","target_total_iterations","projected_fit_seconds"
"sparse_homogeneous","bed",500,99.6766662597656
"sparse_homogeneous","block_csr",500,12.0966657002767
"sparse_homogeneous","full_csr",500,13.0949997901917
"sparse_homogeneous","low_rank_0995",500,138.398465930607
"sparse_homogeneous","low_rank_0999",500,141.12304769237
"sparse_homogeneous","low_rank_full",500,181.894203681475
"sparse_mixture","bed",1250,321.99583252271
"sparse_mixture","block_csr",1250,60.9999999999995
"sparse_mixture","full_csr",1250,48.8333333333344
"sparse_mixture","low_rank_0995",1250,275.984624399999
"sparse_mixture","low_rank_0999",1250,257.523499233335
"sparse_mixture","low_rank_full",1250,222.345066133334
