"architecture","replicate","configuration","method","mcmc_runtime_seconds","seconds_per_retained_draw","fit_object_bytes","checkpoint_bytes","immutable_operator_bytes","per_chain_state_bytes","operator_construction_seconds","warnings"
"sparse_homogeneous",1,"bed","bayesc",22.97,0.02297,77403864,53804969,,,,""
"sparse_homogeneous",1,"block_csr","sbayesc",8.06,0.00806,76919944,52837688,,,,""
"sparse_homogeneous",1,"full_csr","sbayesc",7.27,0.00727,76919944,52837684,,,,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc",136.57,0.13657,76949752,52876638,149794756,297848,109.4857062,""
"sparse_homogeneous",1,"low_rank_0999","sbayesc",165.46,0.16546,77489752,53221638,152231044,302712,121.9180749,""
"sparse_homogeneous",1,"low_rank_full","sbayesc",159.61,0.15961,76949752,52876638,152840116,303928,130.0554417,""
"sparse_homogeneous",2,"bed","bayesc",28.64,0.02864,77403864,53804969,,,,""
"sparse_homogeneous",2,"block_csr","sbayesc",10.17,0.01017,76919944,52837688,,,,""
"sparse_homogeneous",2,"full_csr","sbayesc",9.93000000000006,0.00993000000000006,76919944,52837684,,,,""
"sparse_homogeneous",2,"low_rank_0995","sbayesc",149.5,0.1495,76949752,52876638,149794756,297848,120.2956464,""
"sparse_homogeneous",2,"low_rank_0999","sbayesc",146.26,0.14626,77489752,53221638,152231044,302712,105.4453059,""
"sparse_homogeneous",2,"low_rank_full","sbayesc",133.61,0.13361,76949752,52876638,152840116,303928,106.8334044,""
"sparse_homogeneous",3,"bed","bayesc",26.8800000000001,0.0268800000000001,77403864,53804969,,,,""
"sparse_homogeneous",3,"block_csr","sbayesc",8.37000000000012,0.00837000000000012,76919944,52837688,,,,""
"sparse_homogeneous",3,"full_csr","sbayesc",10.3599999999999,0.0103599999999999,76919944,52837684,,,,""
"sparse_homogeneous",3,"low_rank_0995","sbayesc",286.29,0.28629,76949752,52876638,149794756,297848,242.5346557,""
"sparse_homogeneous",3,"low_rank_0999","sbayesc",157.07,0.15707,77489752,53221638,152231044,302712,116.3791381,""
"sparse_homogeneous",3,"low_rank_full","sbayesc",132.75,0.13275,76949752,52876638,152840116,303928,102.391123,""
"sparse_homogeneous",4,"bed","bayesc",45,0.045,77403864,53804969,,,,""
"sparse_homogeneous",4,"block_csr","sbayesc",19.6499999999999,0.0196499999999999,76919944,52837688,,,,""
"sparse_homogeneous",4,"full_csr","sbayesc",16.26,0.01626,76919944,52837684,,,,""
"sparse_homogeneous",4,"low_rank_0995","sbayesc",226.66,0.22666,76949752,52876638,149794756,297848,194.8031825,""
"sparse_homogeneous",4,"low_rank_0999","sbayesc",275.49,0.27549,77489752,53221638,152231044,302712,213.732831,""
"sparse_homogeneous",4,"low_rank_full","sbayesc",222.31,0.22231,76949752,52876638,152840116,303928,194.036703,""
"sparse_homogeneous",5,"bed","bayesc",21.6399999999999,0.0216399999999999,77403864,53804969,,,,""
"sparse_homogeneous",5,"block_csr","sbayesc",7.19999999999982,0.00719999999999982,76919944,52837688,,,,""
"sparse_homogeneous",5,"full_csr","sbayesc",6.36000000000013,0.00636000000000013,76919944,52837684,,,,""
"sparse_homogeneous",5,"low_rank_0995","sbayesc",194.41,0.19441,76949872,52876863,149794756,297848,167.6525559,""
"sparse_homogeneous",5,"low_rank_0999","sbayesc",239.78,0.23978,77489752,53221638,152231044,302712,174.1317396,""
"sparse_homogeneous",5,"low_rank_full","sbayesc",125.77,0.12577,76949752,52876638,152840116,303928,99.4864005,""
"sparse_mixture",1,"bed","bayesr",304.54,0.076135,128954720,94308003,,,,""
"sparse_mixture",1,"block_csr","sbayesr",41.8000000000002,0.01045,128940328,93635363,,,,""
"sparse_mixture",1,"full_csr","sbayesr",179.7,0.0224625,131572328,95427359,,,,""
"sparse_mixture",1,"low_rank_0995","sbayesr",265.06,0.0662650000000001,129570224,94034449,149794756,297848,126.8312858,""
"sparse_mixture",1,"low_rank_0999","sbayesr",218.09,0.0545225,128970224,93674449,152231044,302712,114.6222899,""
"sparse_mixture",1,"low_rank_full","sbayesr",201.02,0.050255,128970224,93674449,152840116,303928,99.7612767,""
