"architecture","replicate","configuration","source_sha","package_version","operator_contract","representation","eigen_prop","block_start","block_size","positive_rank","retained_rank","retained_rank_fraction","positive_eigenvalue_mass","retained_eigenvalue_mass","retained_mass_fraction","minimum_retained_eigenvalue","maximum_omitted_eigenvalue","negative_eigenvalue_count","negative_eigenvalue_mass","eigenvalue_tolerance"
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,0,1000,1000,980,0.98,1000,995.167478010348,0.995167478010348,0.260395711083494,0.259528462287529,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,1000,1000,1000,980,0.98,1000,995.19278445077,0.995192784450771,0.259217335850789,0.258151912401072,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,2000,1000,1000,980,0.98,1000,995.15193607934,0.99515193607934,0.261073770436081,0.259841839160425,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,3000,1000,1000,980,0.98,1000,995.158223862597,0.995158223862597,0.26123053923394,0.259149717472679,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,4000,1000,1000,980,0.98,1000,995.165424928499,0.995165424928499,0.259566266366162,0.25783146903242,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,5000,1000,1000,980,0.98,1000,995.146660715296,0.995146660715296,0.261032272015392,0.258093825486476,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,6000,1000,1000,980,0.98,999.999999999999,995.179761940966,0.995179761940968,0.260961913317094,0.259056029661969,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,7000,1000,1000,980,0.98,1000,995.171640025712,0.995171640025713,0.259775760033487,0.258998293031135,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,8000,1000,1000,980,0.98,999.999999999999,995.144263364169,0.99514426336417,0.262229017434252,0.26057054343578,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,9000,1000,1000,980,0.98,1000,995.167739551256,0.995167739551256,0.259694735873952,0.258709130548571,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,10000,1000,1000,980,0.98,1000,995.159096603111,0.99515909660311,0.260614711875014,0.259064124720855,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,11000,1000,1000,980,0.98,1000,995.158372435602,0.995158372435602,0.26147544233939,0.260808034788784,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,12000,1000,1000,980,0.98,1000,995.179666171229,0.995179666171228,0.259284132933339,0.257664894549849,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,13000,1000,1000,980,0.98,1000,995.195359172155,0.995195359172155,0.260615756901156,0.256732956860863,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,14000,1000,1000,980,0.98,1000,995.16317314587,0.995163173145869,0.260042025841487,0.258557708623269,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,15000,1000,1000,980,0.98,999.999999999999,995.179211556734,0.995179211556735,0.259932310872986,0.258775550202739,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,16000,1000,1000,980,0.98,1000,995.157229541302,0.995157229541302,0.260170661261529,0.259449100213989,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,17000,1000,1000,980,0.98,1000,995.161136171034,0.995161136171034,0.260619612556707,0.2585911025601,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,18000,1000,1000,980,0.98,999.999999999999,995.207479720711,0.995207479720712,0.258559209377011,0.256599757430728,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,19000,1000,1000,980,0.98,1000,995.157810560987,0.995157810560986,0.261136809858484,0.258232300147836,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,20000,1000,1000,980,0.98,1000,995.184436700308,0.995184436700308,0.260024632663867,0.258197765485866,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,21000,1000,1000,980,0.98,999.999999999999,995.170205966942,0.995170205966944,0.260691573005359,0.259165747349721,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,22000,1000,1000,980,0.98,1000,995.20384024062,0.995203840240619,0.260137919166821,0.257644813475494,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,23000,1000,1000,980,0.98,1000,995.164828386143,0.995164828386142,0.260987216165058,0.258452250455264,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,24000,1000,1000,980,0.98,1000,995.152123300393,0.995152123300393,0.259546663057701,0.258732168787252,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,25000,1000,1000,980,0.98,1000,995.153785514315,0.995153785514314,0.262456406255856,0.259764583214581,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,26000,1000,1000,980,0.98,1000,995.18336442398,0.995183364423981,0.258782237434266,0.257643878679504,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,27000,1000,1000,980,0.98,999.999999999999,995.15306079222,0.995153060792221,0.263099029879665,0.261401964991466,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,28000,1000,1000,980,0.98,1000,995.162584379881,0.995162584379881,0.261061079045518,0.257718467576204,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,29000,1000,1000,980,0.98,1000,995.176497155982,0.995176497155982,0.2599575364708,0.25964071528225,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,30000,1000,1000,980,0.98,1000,995.173767669028,0.995173767669028,0.260505466293309,0.259449901546214,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,31000,1000,1000,980,0.98,1000,995.194440587629,0.995194440587629,0.258187075264966,0.257573651774083,0,0,1e-10
"sparse_homogeneous",1,"low_rank_0995","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,32000,1000,1000,980,0.98,1000,995.165735192007,0.995165735192007,0.259586714274947,0.256686910838058,0,0,1e-10
