"replicate","focal_value","reference_value","complete_pair","difference","architecture","metric","comparison_id","orientation","interpretation_level"
1,0.000512687360185736,8.14153461438304e-05,TRUE,0.000431272014041906,"sparse_homogeneous","noncausal_marker_rmse","full_csr_minus_bed","full_csr minus bed",4
1,0.000519323297397034,0.000520552945233855,TRUE,-1.22964783682092e-06,"sparse_homogeneous","noncausal_marker_rmse","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.000520552945233855,0.00052197507938078,TRUE,-1.42213414692474e-06,"sparse_homogeneous","noncausal_marker_rmse","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.00052197507938078,0.000512687360185736,TRUE,9.28771919504355e-06,"sparse_homogeneous","noncausal_marker_rmse","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.000525215149371699,0.000512687360185736,TRUE,1.25277891859625e-05,"sparse_homogeneous","noncausal_marker_rmse","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.000525215149371699,0.000519323297397034,TRUE,5.89185197466459e-06,"sparse_homogeneous","noncausal_marker_rmse","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.000525215149371699,0.000520552945233855,TRUE,4.66220413784368e-06,"sparse_homogeneous","noncausal_marker_rmse","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.00063240294140903,0.000636198307899107,TRUE,-3.79536649007669e-06,"sparse_homogeneous","pip_null_mean","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.000636198307899107,0.000100814422392662,TRUE,0.000535383885506444,"sparse_homogeneous","pip_null_mean","full_csr_minus_bed","full_csr minus bed",4
1,0.000636883582404259,0.000646213858359031,TRUE,-9.33027595477194e-06,"sparse_homogeneous","pip_null_mean","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.000640942516011702,0.000636198307899107,TRUE,4.74420811259584e-06,"sparse_homogeneous","pip_null_mean","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.000640942516011702,0.000636883582404259,TRUE,4.05893360744313e-06,"sparse_homogeneous","pip_null_mean","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.000640942516011702,0.000646213858359031,TRUE,-5.27134234732881e-06,"sparse_homogeneous","pip_null_mean","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.000646213858359031,0.00063240294140903,TRUE,1.38109169500013e-05,"sparse_homogeneous","pip_null_mean","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.000811937212019831,0.000255745765136273,TRUE,0.000556191446883558,"sparse_mixture","noncausal_marker_rmse","full_csr_minus_bed","full_csr minus bed",4
1,0.000821242764911496,0.000811937212019831,TRUE,9.30555289166499e-06,"sparse_mixture","noncausal_marker_rmse","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
1,0.000821242764911496,0.000824131815112367,TRUE,-2.88905020087108e-06,"sparse_mixture","noncausal_marker_rmse","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.000821242764911496,0.000830016422857909,TRUE,-8.77365794641231e-06,"sparse_mixture","noncausal_marker_rmse","low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",3
1,0.000823607564106072,0.000811937212019831,TRUE,1.16703520862405e-05,"sparse_mixture","noncausal_marker_rmse","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.000824131815112367,0.000830016422857909,TRUE,-5.88460774554123e-06,"sparse_mixture","noncausal_marker_rmse","low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",3
1,0.000830016422857909,0.000823607564106072,TRUE,6.40885875183685e-06,"sparse_mixture","noncausal_marker_rmse","low_rank_full_minus_block_csr","low_rank_full minus block_csr",1
1,0.00110005001184491,0.00110836777131426,TRUE,-8.31775946934796e-06,"sparse_homogeneous","nonnull_probability_mean","block_csr_minus_full_csr","block_csr minus full_csr",2
1,0.00110502487431234,0.00110549867073781,TRUE,-4.7379642546916e-07,"sparse_homogeneous","nonnull_probability_mean","low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",3
1,0.00110502487431234,0.00110836777131426,TRUE,-3.34289700192145e-06,"sparse_homogeneous","nonnull_probability_mean","low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",4
